"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
57,2,NA,12,322,8,0,9,8,2,5,9,3,4,2,3,5,7,3,5,120
90,1,5,10,322,3,6,7,7,3,3,2,2,2,4,5,6,6,1,1,NA
44,1,4,16,610,8,7,9,0,2,4,9,1,2,1,1,7,1,3,5,60
73,2,5,20,800,NA,7,8,8,2,4,3,1,2,4,3,4,3,3,3,NA
78,2,5,8,212,NA,6,7,6,3,3,8,2,2,2,4,5,5,2,3,NA
72,2,4,9,212,4,0,7,9,1,5,2,1,1,6,1,7,7,2,5,180
54,2,4,20,620,10,0,4,5,3,5,4,2,1,3,3,6,3,3,5,720
24,2,6,13,322,4,6,7,8,2,6,5,1,2,2,2,5,4,2,5,120
42,2,NA,9,212,7,8,7,7,3,4,1,2,3,1,3,7,4,2,5,120
17,1,6,11,213,2,0,8,5,1,7,7,1,1,4,1,7,7,5,5,240
59,2,NA,12,322,6,4,9,9,2,4,8,2,3,2,4,5,4,3,5,60
81,2,5,8,212,2,6,7,8,4,3,3,2,4,2,5,4,4,1,1,NA
50,2,4,13,423,NA,7,7,8,2,4,6,1,3,2,3,6,4,3,5,120
45,1,6,19,720,NA,2,6,6,1,6,8,1,1,1,2,3,3,4,5,480
62,1,NA,9,212,6,0,8,7,2,4,6,2,3,5,4,7,7,2,1,NA
71,2,4,12,322,3,4,6,5,2,6,5,1,1,3,2,6,1,2,5,30
58,1,NA,18,720,7,0,9,9,2,5,7,3,2,4,3,7,7,2,5,190
53,1,4,15,322,NA,3,7,7,1,4,5,1,2,3,3,7,NA,3,5,90
54,2,4,17,313,7,7,7,10,3,6,7,2,2,4,2,5,2,5,5,120
65,2,NA,12,322,6,5,9,8,2,2,5,2,3,3,3,5,5,3,5,30
29,2,6,11,322,NA,5,8,8,1,6,5,3,3,3,3,7,NA,3,5,30
29,2,6,10,322,1,3,9,10,1,4,3,1,2,3,2,6,7,3,5,150
67,2,NA,11,322,7,5,9,8,3,6,6,1,1,1,1,5,1,4,5,90
69,1,5,12,322,NA,4,8,6,2,5,6,2,2,2,2,5,6,3,5,120
25,1,6,12,322,6,1,8,8,3,5,5,2,2,5,2,7,7,1,5,360
44,1,NA,13,423,8,3,8,8,2,4,8,1,1,1,3,7,3,3,5,270
70,2,4,11,322,3,8,10,10,2,4,6,2,1,1,3,5,1,3,5,60
61,2,4,6,113,2,8,7,7,4,2,5,3,1,1,4,4,2,NA,3,NA
64,2,4,9,212,1,10,5,5,3,5,5,3,2,4,3,6,1,2,4,120
56,1,6,16,620,8,8,5,9,1,4,9,3,2,3,2,6,7,4,5,120
71,1,5,11,212,2,5,9,9,3,4,5,2,2,2,5,7,6,3,5,30
74,1,NA,12,313,8,5,8,8,2,7,5,1,1,2,2,7,7,3,5,90
19,2,6,10,212,NA,0,8,8,2,6,3,1,1,1,3,7,7,4,5,360
48,1,NA,NA,422,NA,5,8,8,3,6,8,2,2,3,4,5,1,4,5,120
39,2,6,11,422,4,6,8,8,2,5,7,2,1,3,3,5,NA,3,4,120
69,1,6,12,423,5,0,8,9,1,6,8,3,1,6,2,7,7,3,5,180
81,1,5,8,NA,2,6,8,8,3,7,7,2,2,2,3,4,2,3,1,NA
80,2,4,15,322,3,9,10,10,3,5,8,1,1,3,3,6,4,2,5,60
34,2,6,15,620,2,3,5,5,3,4,5,2,2,2,2,7,NA,2,4,180
81,2,5,11,322,3,8,8,8,2,6,6,3,2,2,3,3,1,4,1,NA
57,1,NA,11,322,NA,5,7,7,1,4,5,1,2,2,3,6,6,2,5,120
30,2,6,14,313,2,6,8,8,1,7,7,2,2,1,2,5,5,3,5,300
70,2,4,16,610,6,9,7,8,3,4,5,1,1,1,3,4,3,2,5,90
77,2,5,9,322,NA,7,9,9,3,6,5,2,1,1,2,4,4,4,5,15
66,2,5,12,322,2,2,7,7,1,4,6,2,1,3,5,6,5,NA,5,150
54,1,6,12,322,NA,0,8,8,2,4,5,1,1,3,1,7,7,2,5,300
68,1,NA,9,322,4,1,10,9,1,6,3,1,1,3,5,6,7,2,5,120
70,2,4,14,313,3,3,7,8,3,5,6,1,1,3,3,7,6,3,5,60
53,2,6,12,322,3,0,8,9,2,6,6,2,1,1,4,7,7,3,2,NA
52,1,NA,13,423,7,5,8,7,2,4,8,3,1,1,5,6,1,3,5,180
76,1,NA,15,322,7,6,10,10,2,5,8,2,1,3,3,4,1,3,5,120
77,2,5,14,610,5,9,8,8,2,3,7,1,1,2,4,3,2,2,5,210
40,2,6,9,212,2,2,7,7,2,5,7,2,1,5,3,5,6,2,5,180
50,2,NA,13,422,10,9,10,10,1,5,8,2,2,2,3,4,2,4,5,300
60,2,4,12,322,2,3,10,5,2,4,1,1,1,2,1,5,4,4,2,NA
73,2,NA,15,422,NA,7,6,7,2,6,4,2,1,2,3,4,4,4,4,85
65,1,4,12,322,6,0,6,6,3,4,4,2,2,2,2,7,7,3,5,150
58,1,NA,17,620,9,8,9,9,2,4,8,2,2,2,4,5,5,3,5,180
89,1,5,13,423,4,7,10,10,1,6,7,1,1,2,5,2,1,4,1,NA
48,1,6,14,423,NA,4,8,1,1,6,5,2,1,1,2,5,7,3,5,285
84,2,5,11,322,3,2,8,10,3,3,0,1,2,1,3,6,6,2,1,NA
41,2,NA,12,322,9,6,8,8,3,4,7,1,1,1,2,4,1,2,5,120
86,2,NA,9,212,2,8,8,9,3,3,6,2,2,3,4,5,1,2,1,NA
60,2,NA,12,322,6,2,8,8,3,4,1,2,1,4,2,6,NA,2,4,60
61,1,NA,12,322,3,7,10,9,2,6,9,1,1,2,4,4,2,3,2,NA
51,1,6,9,322,4,4,7,7,2,6,7,2,1,3,2,6,6,4,5,120
36,1,NA,12,322,7,0,9,9,1,4,6,3,1,3,2,7,7,2,5,600
40,2,4,22,720,NA,6,3,3,1,6,1,1,1,3,3,6,2,3,5,120
57,2,4,12,322,2,8,6,7,3,4,2,1,1,1,2,5,2,2,4,60
75,1,NA,12,322,6,10,9,10,2,6,5,1,3,3,3,2,1,4,5,300
90,2,5,9,212,2,7,7,7,3,5,7,1,2,2,4,5,2,3,1,NA
65,1,NA,20,720,6,5,9,9,1,7,9,3,2,4,4,6,7,3,5,60
45,1,NA,NA,322,NA,7,8,5,4,5,7,1,3,1,2,5,1,2,5,30
47,2,NA,12,322,6,9,7,3,1,4,7,2,2,1,2,5,3,2,5,180
26,2,6,15,313,1,0,6,6,2,6,7,3,1,3,1,7,7,5,5,300
75,2,5,NA,113,2,6,9,8,3,3,7,1,2,4,4,3,1,2,1,NA
35,1,6,12,322,3,3,6,6,2,5,8,2,2,5,4,6,7,2,4,45
52,2,6,13,322,NA,4,5,6,2,7,4,1,1,2,2,5,4,3,5,90
28,2,NA,11,322,6,7,9,10,1,5,8,1,1,2,1,5,5,3,5,120
56,1,NA,14,520,NA,3,5,7,2,6,6,3,2,1,3,5,7,3,4,225
67,1,4,12,322,4,0,3,2,4,2,8,1,1,3,2,7,7,2,5,300
63,2,4,18,520,8,5,3,5,3,5,2,2,1,4,3,7,7,3,2,NA
81,2,NA,10,322,NA,6,7,6,3,4,5,1,3,1,4,5,NA,2,1,NA
