"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
58,2,4,18,720,7,5,7,6,2,6,8,1,1,4,2,7,7,4,5,480
79,2,5,12,322,6,5,9,9,2,6,3,1,1,1,1,5,3,2,5,60
68,2,4,13,322,2,0,7,6,1,6,0,1,1,2,1,7,7,4,5,300
62,1,6,12,322,4,0,8,7,2,4,8,2,1,5,5,7,7,2,4,120
58,2,4,12,313,4,3,9,9,1,6,5,2,1,2,6,5,4,5,5,180
51,2,4,17,322,5,8,8,9,2,3,7,1,2,3,3,6,1,3,4,30
25,2,6,18,620,2,2,6,7,2,6,6,2,2,3,3,7,6,3,5,180
54,1,4,12,322,4,5,8,8,2,3,7,2,2,3,3,5,5,2,5,60
45,2,6,13,423,3,3,5,8,4,6,7,1,1,3,5,5,1,1,5,120
59,1,4,12,322,7,7,10,10,2,7,8,2,2,3,1,5,1,2,5,120
87,2,4,12,313,4,7,9,9,2,6,8,2,1,1,3,3,1,4,5,60
45,2,1,12,313,5,7,6,6,3,4,4,1,1,3,3,5,4,2,5,390
67,2,4,12,322,3,3,9,8,2,5,5,2,1,2,5,5,1,2,5,60
19,1,6,12,313,2,8,3,8,3,7,8,3,1,2,1,4,1,4,5,310
32,2,6,24,620,2,3,8,8,2,4,4,1,2,5,4,5,7,3,5,240
49,2,4,18,610,5,0,10,10,1,7,6,2,1,2,1,7,7,3,5,120
57,1,4,12,322,4,0,9,9,1,6,7,2,2,4,2,7,7,3,5,120
61,2,6,12,322,4,2,9,9,2,6,7,2,2,3,3,5,6,4,5,120
36,2,4,13,423,2,2,7,7,2,6,6,4,2,5,1,7,7,3,5,180
74,2,5,13,610,5,0,9,10,3,7,5,5,1,6,2,7,7,4,5,120
60,1,4,12,313,2,0,2,2,5,6,6,2,1,4,4,6,6,3,5,240
21,1,6,9,212,4,1,9,9,2,5,10,2,2,4,2,7,7,3,5,180
31,1,6,12,322,3,0,8,8,1,6,6,4,2,5,2,7,7,3,5,180
18,1,6,12,213,8,2,6,5,2,6,5,3,2,3,2,7,6,3,5,300
64,1,6,13,423,7,8,10,10,1,3,4,3,1,1,2,5,4,3,5,150
46,2,6,17,610,7,8,7,9,2,3,8,2,2,1,1,5,2,2,5,60
51,2,4,11,212,1,5,8,8,2,4,7,2,1,1,3,5,1,2,5,180
28,1,6,16,620,4,2,8,8,1,5,7,2,1,3,3,6,6,3,5,300
